name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sub-Saharan Africa,107.7,106.9,106,105.1,104.2,102.8,101.3,99.7,97.7,95.4,92.9,90.2,87.3,84.3,81.3,78.3,75.5,72.7,70.1,67.5,65.1,62.8,60.6,58.5,56.7,54.9,53.1,51.5
West and Central Africa,115.5,114.7,114,113.3,112.4,111.4,110.2,108.6,106.8,104.7,102.3,99.8,97.1,94.4,91.7,88.9,86.1,83.4,80.8,78.3,75.8,73.4,71.1,68.9,66.9,64.9,63,61.2
Eastern and Southern Africa,100.7,99.6,98.6,97.5,96.5,94.8,93,91.2,89.2,86.7,84,81,77.8,74.4,71.1,67.9,65,62.1,59.3,56.7,54.3,51.9,49.8,47.8,46.1,44.5,43,41.6
Middle East and North Africa,50,48.1,46.4,44.7,43.1,41.5,39.9,38.4,36.9,35.5,34.1,32.7,31.4,30.1,28.9,27.7,26.6,25.6,24.6,23.6,22.8,22.2,21.6,21.1,20.6,20.1,19.6,19.2
South Asia,91.7,89.4,87.1,84.9,82.7,80.5,78.2,75.9,73.5,71.2,68.9,66.6,64.4,62.3,60.3,58.3,56.3,54.4,52.5,50.6,48.7,46.8,45,43.1,41.3,39.6,37.9,36.4
East Asia and Pacific,43.3,42.5,41.6,40.5,39.3,38.1,36.9,35.6,34.3,32.9,31.5,30,28.4,26.8,25.4,23.8,22.5,21.2,20.3,19.1,18.1,17.2,16.3,15.5,14.8,14.2,13.6,13.1
Latin America and Caribbean,43.5,41.8,40.1,38.4,36.7,35.1,33.4,31.8,30.3,28.8,27.4,26,24.8,23.6,22.6,21.6,20.6,19.8,19.1,18.4,18.4,17.2,16.7,16.2,15.9,15.5,15.5,14.9
North America,9.2,8.9,8.6,8.3,8,7.8,7.5,7.3,7.2,7.1,6.9,6.9,6.8,6.7,6.7,6.7,6.6,6.4,6.3,6.3,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6
Europe and Central Asia,25,24.5,24.1,23.7,23.2,22.5,21.7,20.8,19.9,18.9,18,17,16.1,15.3,14.5,13.7,13,12.4,11.8,11.2,10.8,10.3,9.9,9.4,9,8.6,8.1,7.7
Eastern Europe and Central Asia,37.5,37.3,37.3,37.3,37,36.4,35.5,34.4,33,31.5,29.9,28.3,26.7,25.1,23.6,22.3,21,19.7,18.6,17.6,16.7,15.8,15,14.3,13.5,12.7,12,11.4
Western Europe,8.8,8.4,8,7.6,7.1,6.7,6.3,5.9,5.6,5.4,5.2,5,4.8,4.7,4.5,4.3,4.2,4.1,4,3.9,3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.3
World,64.7,63.8,63,62.2,61.3,60.3,59.2,58,56.6,55.1,53.6,51.9,50.1,48.3,46.6,44.9,43.2,41.6,40.1,38.6,37.2,35.8,34.5,33.3,32.2,31.2,30.3,29.4